# DISTANCE:     AVE_GOFR:        ERROR:
     1.01316     1.86024  0.00476912
     1.03881     2.32464  0.00641398
     1.06446     2.55118  0.00588673
     1.09011     2.54492  0.00664203
     1.11576     2.40617  0.00462735
     1.14141     2.19601  0.00436401
     1.16706     1.97276  0.00516548
     1.19271     1.75342  0.00441283
     1.21836     1.56653  0.00511993
     1.24401     1.39395  0.00514777
     1.26966     1.25097  0.00422982
     1.29531     1.12992  0.00291355
     1.32096     1.02609  0.00299512
     1.34661    0.945521  0.00181791
     1.37226    0.874009  0.00136922
     1.39791     0.82036  0.00215987
     1.42355    0.774407  0.00209549
      1.4492    0.736265  0.00249094
     1.47485     0.71247  0.00286177
      1.5005    0.691794  0.00208878
     1.52615    0.677486  0.00338744
      1.5518    0.675818  0.00202931
     1.57745    0.672105  0.00188451
      1.6031    0.676799   0.0025994
     1.62875    0.686471  0.00228634
      1.6544    0.703063  0.00151336
     1.68005    0.721812  0.00172167
      1.7057      0.7467   0.0015862
     1.73135    0.780894  0.00186274
       1.757    0.813256  0.00216496
     1.78265    0.850134   0.0017797
      1.8083    0.889104  0.00177151
     1.83395    0.932852  0.00141334
      1.8596    0.970276  0.00173566
     1.88525     1.01502   0.0017043
      1.9109     1.05754  0.00170453
     1.93655     1.09505  0.00061412
      1.9622     1.13062  0.00244565
     1.98785      1.1592  0.00128393
      2.0135     1.18684  0.00132748
     2.03915     1.20445  0.00222213
      2.0648     1.21375  0.00161012
     2.09045     1.21336  0.00203768
      2.1161     1.20521  0.00142493
     2.14174     1.19376  0.00254008
     2.16739     1.17111  0.00181348
     2.19304     1.15149  0.00173375
     2.21869     1.12398   0.0025846
     2.24434     1.09794  0.00282351
     2.26999     1.07032  0.00214046
     2.29564     1.04238  0.00238759
     2.32129     1.01597   0.0026411
     2.34694    0.992771  0.00279629
     2.37259    0.969182  0.00231509
     2.39824    0.951399  0.00220004
     2.42389    0.933404  0.00181953
     2.44954    0.921011  0.00159085
     2.47519    0.908966 0.000907301
     2.50084     0.89674  0.00152782
     2.52649    0.885772  0.00152676
     2.55214    0.885917  0.00182851

   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 4.86307e-06 4.61352e-06
    0.884913  0.00130221 0.000122556
    0.910562   0.0234285 0.000578033
    0.936212    0.165239  0.00172446
    0.961861    0.562404  0.00403869
    0.987511      1.1991  0.00622364
     1.01316     1.86141  0.00443154
     1.03881     2.32829  0.00672938
     1.06446     2.55424  0.00604099
     1.09011     2.54477  0.00597938
     1.11576     2.40724  0.00428519
     1.14141     2.19584  0.00393098
     1.16706     1.97046  0.00513282
     1.19271      1.7517  0.00429583
     1.21836     1.56486  0.00487191
     1.24401     1.39211  0.00495083
     1.26966     1.24816  0.00464624
     1.29531     1.12828  0.00305239
     1.32096     1.02457  0.00305749
     1.34661     0.94445  0.00192573
     1.37226    0.873806  0.00124732
     1.39791    0.818476  0.00264084
     1.42355    0.773577  0.00204365
      1.4492    0.736143  0.00224485
     1.47485    0.712871  0.00260358
      1.5005    0.691837  0.00188036
     1.52615    0.678182  0.00311948
